Towns,Median household income,Mean household income,Per capita income,Population,,,
Weston,217171,283202,92794,10179,,,
Westport,162907,270222,97395,26391,,,
Wethersfield,77195,93540,38753,26668,,,
Willington,73526,88747,36630,6041,,,
Wilton,172095,241155,78131,18062,,,
Winchester,52757,69404,31050,11242,,,
Windham,41398,51366,19783,25268,,,
Windsor,81982,95282,36322,29044,,,
Windsor Locks,68944,82986,34035,12498,,,
Wolcott,80323,95089,34468,16680,,,
Woodbridge,133412,166416,58594,8990,,,
Woodbury,80350,110669,46853,9975,,,
Woodstock,78594,89652,35502,7964,,,
